,params.classifier,params.dataset,params.model,metrics.roc_auc
0,tabnet,heloc_linear,SLAD,0.3226776183758358
1,tabnet,heloc_linear,ICL,0.31924896126040636
2,tabnet,heloc_linear,NeuTraL,0.27007781404939857
3,tabnet,heloc_linear,GOAD,0.32527946959309184
4,tabnet,heloc_linear,RCA,0.6221329154302909
5,tabnet,heloc_linear,RDP,0.6151210494432228
6,tabnet,heloc_linear,REPEN,0.6144352260250439
7,tabnet,heloc_linear,DeepSVDD,0.3260841966689496
8,tabnet,heloc_linear,SLAD,0.3226776183758358
9,tabnet,heloc_linear,ICL,0.31924896126040636
10,tabnet,heloc_linear,NeuTraL,0.27007781404939857
11,tabnet,heloc_linear,GOAD,0.3343908935897359
12,tabnet,heloc_linear,RCA,0.6200409470158862
13,tabnet,heloc_linear,RDP,0.6151164496885737
14,tabnet,heloc_linear,REPEN,0.6128998279231785
15,tabnet,heloc_linear,DeepSVDD,0.3260841966689496
16,tabnet,url,SLAD,0.9808067517369603
17,tabnet,url,ICL,0.0
18,tabnet,url,NeuTraL,0.0
19,tabnet,url,GOAD,0.36945089322277413
20,tabnet,url,RCA,0.9996505795480727
21,tabnet,url,RDP,0.9999383825928145
22,tabnet,url,REPEN,0.9999894752875925
23,tabnet,url,DeepSVDD,0.04147942246501777
24,tabnet,wids,ICL,0.2448616492154218
25,tabnet,wids,NeuTraL,0.28935234056291537
26,tabnet,wids,GOAD,0.22576497309199545
27,tabnet,wids,RCA,0.795184612664154
28,tabnet,wids,RDP,0.7758338093347255
29,tabnet,wids,REPEN,0.7853558544228425
30,tabnet,wids,DeepSVDD,0.2176208448677422
