,params.dataset,params.model,metrics.roc_auc
0,wids,ICL,0.48568678612184746
1,wids,NeuTraL,0.4617857850095317
2,wids,GOAD,0.49400065726546394
3,wids,RCA,0.5059041518805059
4,wids,RDP,0.49890112103816986
5,wids,REPEN,0.5081355202536634
6,wids,DeepSVDD,0.49070434964939685
7,heloc_linear,SLAD,0.37670950515393536
8,heloc_linear,ICL,0.38368137601092794
9,heloc_linear,NeuTraL,0.3850873844565135
10,heloc_linear,GOAD,0.38674286475252406
11,heloc_linear,RCA,0.4489668812597323
12,heloc_linear,RDP,0.4212512677913452
13,heloc_linear,REPEN,0.42059712030881147
14,heloc_linear,DeepSVDD,0.4587031341869301
15,url,RCA,0.49601574726639713
16,url,RDP,0.4963366584533296
17,url,REPEN,0.5041722757982756
18,url,DeepSVDD,0.48324815869376186
